 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000               0              -5              -2;
     1    0.009               0              16              -2;
     2    0.018               0              89               0;
     3    0.027               0             202              14;
     4    0.035               0             340              46;
     5    0.044               0             498             105;
     6    0.053               0             672             195;
     7    0.062               0             850             315;
     8    0.071               0            1030             458;
     9    0.080               8            1203             613;
    10    0.089              13            1369             766;
    11    0.097              13            1533             906;
    12    0.106              13            1686            1019;
    13    0.115              13            1826            1099;
    14    0.124              13            1952            1144;
    15    0.133              13            2050            1159;
    16    0.142              13            2114            1153;
    17    0.151              13            2141            1129;
    18    0.159              13            2133            1098;
    19    0.168              13            2086            1064;
    20    0.177              13            2002            1031;
    21    0.186              13            1884             996;
    22    0.195              13            1745             954;
    23    0.204              13            1597             899;
    24    0.213              13            1445             827;
    25    0.221              13            1299             737;
    26    0.230              13            1166             633;
    27    0.239              13            1043             523;
    28    0.248              13             925             416;
    29    0.257              13             825             323;
    30    0.266              13             744             253;
    31    0.274              12             678             210;
    32    0.283              12             628             197;
    33    0.292              12             598             211;
    34    0.301              12             592             246;
    35    0.310              12             616             295;
    36    0.319              12             665             348;
    37    0.328              12             735             399;
    38    0.336              12             824             447;
    39    0.345              12             932             488;
    40    0.354              12            1054             528;
    41    0.363              12            1173             569;
    42    0.372              12            1286             616;
    43    0.381              12            1393             672;
    44    0.390              12            1490             734;
    45    0.398              12            1572             802;
    46    0.407              13            1631             869;
    47    0.416              13            1672             927;
    48    0.425              13            1696             969;
    49    0.434              13            1707             988;
    50    0.443              13            1709             984;
    51    0.452              13            1697             954;
    52    0.460              13            1676             906;
    53    0.469              13            1643             848;
    54    0.478              13            1594             788;
    55    0.487              13            1528             735;
    56    0.496              13            1446             692;
    57    0.505              13            1360             661;
    58    0.514              13            1274             638;
    59    0.522              13            1194             619;
    60    0.531              13            1121             599;
    61    0.540              13            1055             575;
    62    0.549              13             995             545;
    63    0.558              13             947             509;
    64    0.567              13             922             469;
    65    0.576              13             918             432;
    66    0.584              13             934             404;
    67    0.593              13             962             394;
    68    0.602              13             996             405;
    69    0.611              13            1030             440;
    70    0.620              13            1054             495;
    71    0.629              13            1071             560;
    72    0.638              13            1085             622;
    73    0.646              13            1102             670;
    74    0.655              13            1126             695;
    75    0.664              13            1157             697;
    76    0.673              13            1195             674;
    77    0.682              13            1237             639;
    78    0.691              13            1277             603;
    79    0.699              13            1312             579;
    80    0.708              13            1337             573;
    81    0.717              13            1352             593;
    82    0.726              13            1357             633;
    83    0.735              13            1356             687;
    84    0.744              13            1353             741;
    85    0.753              13            1353             784;
    86    0.761              13            1362             807;
    87    0.770              13            1377             808;
    88    0.779              13            1397             784;
    89    0.788              13            1417             746;
    90    0.797              13            1434             704;
    91    0.806              13            1441             669;
    92    0.815              13            1437             649;
    93    0.823              13            1420             645;
    94    0.832              13            1395             661;
    95    0.841              13            1367             687;
    96    0.850              13            1341             716;
    97    0.859              13            1321             738;
    98    0.868              13            1311             746;
    99    0.877              13            1310             740;
   100    0.885              13            1319             716;
   101    0.894              13            1332             685;
   102    0.903              13            1345             654;
   103    0.912              13            1354             630;
   104    0.921              13            1357             620;
   105    0.930              13            1354             625;
   106    0.939              13            1346             647;
   107    0.947              13            1337             676;
   108    0.956              13            1331             707;
   109    0.965              13            1330             733;
   110    0.974              13            1336             746;
   111    0.983              13            1348             748;
   112    0.992              13            1364             736;
   113    1.001              13            1381             715;
   114    1.009              13            1390             693;
   115    1.018              13            1395             676;
   116    1.027              13            1396             667;
   117    1.036              13            1388             666;
   118    1.045              13            1378             677;
   119    1.054              13            1366             693;
   120    1.063              13            1356             710;
   121    1.071              13            1351             723;
   122    1.080              13            1350             729;
   123    1.089              13            1354             729;
   124    1.098              13            1362             718;
   125    1.107              13            1371             704;
   126    1.116              13            1378             690;
   127    1.124              13            1382             679;
   128    1.133              13            1382             675;
   129    1.142              13            1378             676;
   130    1.151              13            1371             685;
   131    1.160              13            1365             697;
   132    1.169              13            1361             709;
   133    1.178              13            1359             718;
   134    1.186              13            1361             722;
   135    1.195              13            1366             722;
   136    1.204              13            1372             715;
   137    1.213              13            1378             706;
   138    1.222              13            1381             697;
   139    1.231              13            1382             691;
   140    1.240              13            1381             688;
   141    1.248              13            1376             688;
   142    1.257              13            1371             692;
   143    1.266              13            1367             698;
   144    1.275              13            1365             705;
   145    1.284              13            1364             709;
   146    1.293              13            1366             711;
   147    1.302              13            1369             711;
   148    1.310              13            1372             708;
   149    1.319              13            1375             704;
   150    1.328              13            1376             700;
   151    1.337              13            1376             697;
   152    1.346              13            1375             695;
   153    1.355              13            1373             695;
   154    1.364              13            1371             697;
   155    1.372              13            1370             699;
   156    1.381              13            1370             702;
   157    1.390              13            1370             704;
   158    1.399              13            1370             706;
   159    1.408              13            1372             706;
   160    1.417              13            1372             706;
   161    1.426              13            1372             706;
