 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000           0.000           0.000           0.000;
     1    0.009           0.000          16.813           0.000;
     2    0.018           0.000          75.125           0.500;
     3    0.027           0.000         166.875          11.406;
     4    0.035           0.000         280.656          37.406;
     5    0.044           0.000         406.219          85.469;
     6    0.053           0.000         544.313         158.781;
     7    0.062           0.000         688.656         256.031;
     8    0.071           0.000         832.469         371.438;
     9    0.080           3.406         973.656         495.938;
    10    0.089          13.000        1112.344         619.000;
    11    0.097          14.000        1239.156         730.313;
    12    0.106          14.000        1358.563         821.000;
    13    0.115          14.000        1471.281         884.875;
    14    0.124          14.000        1572.469         920.938;
    15    0.133          14.000        1651.375         932.469;
    16    0.142          14.000        1704.188         926.813;
    17    0.151          14.000        1728.563         907.563;
    18    0.159          14.000        1724.938         883.031;
    19    0.168          14.000        1690.719         857.781;
    20    0.177          14.000        1630.438         833.500;
    21    0.186          14.000        1545.344         809.031;
    22    0.195          14.000        1442.250         780.031;
    23    0.204          14.000        1333.125         742.000;
    24    0.213          14.000        1224.250         691.344;
    25    0.221          14.000        1117.688         627.406;
    26    0.230          14.000        1012.219         552.375;
    27    0.239          14.000         912.688         470.906;
    28    0.248          14.000         828.406         389.969;
    29    0.257          14.000         757.563         317.375;
    30    0.266          12.531         696.344         261.000;
    31    0.274          12.531         644.688         225.969;
    32    0.283          12.531         606.063         213.875;
    33    0.292          12.531         584.313         221.719;
    34    0.301          12.531         579.500         248.313;
    35    0.310          12.531         597.875         285.594;
    36    0.319          12.531         635.344         327.781;
    37    0.328          12.531         689.594         369.594;
    38    0.336          12.531         756.219         407.938;
    39    0.345          12.531         831.344         441.750;
    40    0.354          12.531         914.156         471.875;
    41    0.363          12.531        1002.813         500.781;
    42    0.372          12.531        1088.875         531.813;
    43    0.381          12.531        1159.719         567.563;
    44    0.390          12.531        1216.281         607.875;
    45    0.398          12.531        1259.250         650.250;
    46    0.407          12.531        1290.594         690.344;
    47    0.416          12.531        1312.125         722.875;
    48    0.425          12.531        1325.188         743.469;
    49    0.434          12.531        1331.469         749.469;
    50    0.443          12.531        1332.469         741.250;
    51    0.452          12.531        1326.313         718.344;
    52    0.460          12.531        1314.969         686.500;
    53    0.469          12.531        1297.813         651.969;
    54    0.478          12.531        1273.313         619.750;
    55    0.487          12.531        1240.844         594.344;
    56    0.496          12.531        1200.031         577.719;
    57    0.505          12.531        1151.781         569.156;
    58    0.514          12.531        1097.781         565.094;
    59    0.522          12.531        1038.500         560.781;
    60    0.531          12.531         978.500         550.281;
    61    0.540          12.531         932.031         529.969;
    62    0.549          12.531         903.250         499.156;
    63    0.558          12.531         891.750         461.344;
    64    0.567          12.531         893.000         423.406;
    65    0.576          12.531         904.188         393.844;
    66    0.584          12.531         918.781         380.219;
    67    0.593          12.531         933.969         384.875;
    68    0.602          12.531         948.813         411.969;
    69    0.611          12.531         964.094         455.000;
    70    0.620          12.531         981.281         506.250;
    71    0.629          12.531        1003.344         556.531;
    72    0.638          12.531        1031.563         597.375;
    73    0.646          12.531        1060.188         622.938;
    74    0.655          12.531        1082.344         631.469;
    75    0.664          12.531        1098.500         623.469;
    76    0.673          12.531        1107.469         601.375;
    77    0.682          12.531        1108.469         572.000;
    78    0.691          12.531        1099.781         541.875;
    79    0.699          12.531        1080.875         516.469;
    80    0.708          12.531        1051.531         499.156;
    81    0.717          12.531        1012.063         490.500;
    82    0.726          12.531         971.625         488.438;
    83    0.735          12.531         941.469         487.500;
    84    0.744          12.531         924.375         487.500;
    85    0.753          12.531         920.500         485.125;
    86    0.761          12.531         929.406         479.813;
    87    0.770          12.531         948.031         474.500;
    88    0.779          12.531         972.438         472.000;
    89    0.788          12.531         999.750         474.563;
    90    0.797          12.531        1026.938         486.813;
    91    0.806          12.531        1048.531         507.406;
    92    0.815          12.531        1055.469         533.938;
    93    0.823          12.531        1051.625         561.594;
    94    0.832          12.531        1038.531         583.594;
    95    0.841          12.531        1021.594         594.188;
    96    0.850          12.531        1005.000         590.500;
    97    0.859          12.531        1000.500         569.063;
    98    0.868          12.531        1006.656         535.688;
    99    0.877          12.531        1020.063         498.656;
   100    0.885          12.531        1033.813         467.344;
   101    0.894          12.531        1037.469         449.813;
   102    0.903          12.531        1022.750         447.500;
   103    0.912          12.531         996.469         464.844;
   104    0.921          12.531         974.281         491.000;
   105    0.930          12.531         962.219         518.563;
   106    0.939          12.531         960.500         540.344;
   107    0.947          12.531         974.500         551.719;
   108    0.956          12.531         998.094         553.469;
   109    0.965          12.531        1028.719         544.938;
   110    0.974          12.531        1057.125         532.563;
   111    0.983          12.531        1071.906         522.469;
   112    0.992          12.531        1074.469         518.156;
   113    1.001          12.531        1061.344         519.000;
   114    1.009          12.531        1038.500         526.750;
   115    1.018          12.531        1008.000         535.094;
   116    1.027          12.531         982.000         539.469;
   117    1.036          12.531         969.219         537.000;
   118    1.045          12.531         967.500         524.563;
   119    1.054          12.531         979.250         506.531;
   120    1.063          12.531         996.563         488.156;
   121    1.071          12.531        1016.375         475.219;
   122    1.080          12.531        1034.188         471.500;
   123    1.089          12.531        1041.469         480.625;
   124    1.098          12.531        1033.875         501.750;
   125    1.107          12.531        1013.313         528.438;
   126    1.116          12.531         994.031         552.500;
   127    1.124          12.531         986.500         567.063;
   128    1.133          12.531         991.938         569.469;
   129    1.142          12.531        1009.125         557.844;
   130    1.151          12.531        1032.844         537.344;
   131    1.160          12.531        1051.719         515.500;
   132    1.169          12.531        1056.469         499.031;
   133    1.178          12.531        1047.719         491.688;
   134    1.186          12.531        1025.031         493.000;
   135    1.195          12.531         994.656         501.906;
   136    1.204          12.531         972.031         512.688;
   137    1.213          12.531         961.469         520.156;
   138    1.222          12.531         962.000         522.469;
   139    1.231          12.531         975.344         518.375;
   140    1.240          12.531         996.000         510.000;
   141    1.248          12.531        1020.469         502.125;
   142    1.257          12.531        1043.500         498.500;
   143    1.266          12.531        1052.469         502.094;
   144    1.275          12.531        1048.844         515.000;
   145    1.284          12.531        1031.844         531.938;
   146    1.293          12.531        1007.438         547.625;
   147    1.302          12.531         989.500         556.438;
   148    1.310          12.531         984.500         556.000;
   149    1.319          12.531         990.688         542.500;
   150    1.328          12.531        1006.906         522.313;
   151    1.337          12.531        1026.969         501.250;
   152    1.346          12.531        1043.281         486.000;
   153    1.355          12.531        1045.469         480.750;
   154    1.364          12.531        1030.906         486.875;
   155    1.372          12.531        1005.375         502.656;
   156    1.381          12.531         983.250         520.844;
   157    1.390          12.531         972.500         535.063;
   158    1.399          12.531         973.000         541.469;
   159    1.408          12.531         986.625         540.000;
   160    1.417          12.531        1008.344         529.688;
   161    1.426          12.531        1033.750         517.188;
   162    1.434          12.531        1052.438         507.563;
   163    1.443          12.531        1056.469         504.500;
   164    1.452          12.531        1046.969         508.781;
   165    1.461          12.531        1025.781         519.844;
   166    1.470          12.531         998.188         531.594;
   167    1.479          12.531         980.031         538.750;
   168    1.488          12.531         974.500         539.469;
   169    1.496          12.531         980.188         530.156;
   170    1.505          12.531         996.031         515.250;
   171    1.514          12.531        1016.594         499.781;
   172    1.523          12.531        1037.156         489.375;
   173    1.532          12.531        1046.469         486.500;
   174    1.541          12.531        1041.719         496.000;
   175    1.549          12.531        1022.438         513.125;
   176    1.558          12.531         997.750         532.250;
   177    1.567          12.531         982.625         546.469;
   178    1.576          12.531         979.500         551.469;
   179    1.585          12.531         989.313         546.969;
   180    1.594          12.531        1008.563         532.688;
   181    1.603          12.531        1032.094         515.563;
   182    1.611          12.531        1049.469         501.531;
   183    1.620          12.531        1052.469         495.500;
   184    1.629          12.531        1041.250         497.000;
   185    1.638          12.531        1017.594         508.438;
   186    1.647          12.531         990.625         521.969;
   187    1.656          12.531         974.500         531.938;
   188    1.665          12.531         970.500         535.469;
   189    1.673          12.531         978.813         531.281;
   190    1.682          12.531         996.469         519.969;
   191    1.691          12.531        1019.156         507.125;
   192    1.700          12.531        1041.469         497.906;
   193    1.709          12.531        1050.750         495.500;
   194    1.718          12.531        1046.500         503.031;
   195    1.727          12.531        1028.781         517.656;
   196    1.735          12.531        1003.000         533.906;
   197    1.744          12.531         984.938         545.594;
   198    1.753          12.531         979.500         548.469;
   199    1.762          12.531         985.375         542.250;
   200    1.771          12.531        1001.875         526.813;
   201    1.780          12.531        1023.594         509.219;
   202    1.789          12.531        1043.375         495.125;
   203    1.797          12.531        1049.469         489.500;
   204    1.806          12.531        1041.031         493.313;
   205    1.815          12.531        1019.094         506.906;
   206    1.824          12.531         993.313         523.344;
   207    1.833          12.531         977.500         536.219;
   208    1.842          12.531         973.500         541.469;
   209    1.851          12.531         982.219         539.000;
   210    1.859          12.531        1000.781         527.438;
   211    1.868          12.531        1024.313         513.406;
   212    1.877          12.531        1045.406         502.063;
   213    1.886          12.531        1052.469         497.625;
   214    1.895          12.531        1046.500         501.719;
   215    1.904          12.531        1026.938         514.156;
   216    1.913          12.531        1000.094         528.656;
   217    1.921          12.531         981.500         539.406;
   218    1.930          12.531         975.500         542.469;
   219    1.939          12.531         980.750         537.063;
   220    1.948          12.531         996.906         523.344;
   221    1.957          12.531        1018.563         507.531;
   222    1.966          12.531        1040.406         495.156;
   223    1.974          12.531        1049.469         490.594;
   224    1.983          12.531        1044.156         495.875;
   225    1.992          12.531        1025.313         510.156;
   226    2.001          12.531         999.156         527.469;
   227    2.010          12.531         981.813         540.906;
   228    2.019          12.531         976.500         546.469;
   229    2.028          12.531         983.906         542.906;
   230    2.036          12.531        1001.250         530.031;
   231    2.045          12.531        1024.063         514.000;
   232    2.054          12.531        1044.781         500.594;
   233    2.063          12.531        1051.469         494.500;
   234    2.072          12.531        1045.063         497.188;
   235    2.081          12.531        1024.719         509.219;
   236    2.090          12.531         997.563         524.156;
   237    2.098          12.531         979.469         535.969;
   238    2.107          12.531         973.500         540.469;
   239    2.116          12.531         979.719         537.156;
   240    2.125          12.531         996.406         525.094;
