 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000           0.000           0.000           0.000;
     1    0.009           0.000          25.531           0.000;
     2    0.018           0.000         111.406           2.625;
     3    0.027           0.000         244.188          17.938;
     4    0.035           0.000         406.594          56.156;
     5    0.044           0.000         595.500         125.844;
     6    0.053           0.000         801.063         232.469;
     7    0.062           1.000        1012.313         373.750;
     8    0.071           5.688        1221.906         542.063;
     9    0.080          11.469        1425.813         724.594;
    10    0.089          11.594        1627.469         906.625;
    11    0.097          12.313        1819.469        1071.375;
    12    0.106          12.469        2004.125        1206.531;
    13    0.115          12.469        2171.063        1304.375;
    14    0.124          12.469        2318.625        1362.906;
    15    0.133          12.469        2442.188        1386.406;
    16    0.142          12.469        2530.281        1384.781;
    17    0.151          12.625        2575.844        1363.750;
    18    0.159          12.781        2579.719        1333.844;
    19    0.168          12.938        2538.313        1301.219;
    20    0.177          13.094        2454.938        1267.844;
    21    0.186          13.250        2333.563        1231.969;
    22    0.195          13.406        2188.344        1188.375;
    23    0.204          13.469        2026.938        1130.500;
    24    0.213          13.469        1851.156        1053.938;
    25    0.221          13.469        1678.031         956.344;
    26    0.230          13.469        1512.563         839.563;
    27    0.239          13.469        1358.781         711.281;
    28    0.248          13.469        1224.906         582.031;
    29    0.257          13.469        1105.844         464.156;
    30    0.266          12.000         994.000         369.656;
    31    0.274          12.000         897.000         306.000;
    32    0.283          12.000         825.500         276.063;
    33    0.292          12.000         780.250         276.594;
    34    0.301          12.000         761.313         305.969;
    35    0.310          12.000         768.094         353.906;
    36    0.319          12.000         804.313         411.281;
    37    0.328          12.000         870.250         469.594;
    38    0.336          12.000         966.969         523.563;
    39    0.345          12.000        1088.688         571.906;
    40    0.354          12.000        1218.031         617.344;
    41    0.363          12.000        1354.375         664.250;
    42    0.372          12.000        1495.656         716.906;
    43    0.381          12.000        1631.281         779.625;
    44    0.390          12.000        1750.750         853.281;
    45    0.398          12.000        1855.563         934.969;
    46    0.407          12.000        1945.313        1018.969;
    47    0.416          12.000        2014.969        1096.813;
    48    0.425          12.000        2056.438        1159.938;
    49    0.434          12.000        2074.063        1199.594;
    50    0.443          12.000        2073.438        1210.469;
    51    0.452          12.000        2053.000        1189.688;
    52    0.460          12.000        2015.313        1138.594;
    53    0.469          12.000        1957.469        1065.688;
    54    0.478          12.000        1881.531         980.469;
    55    0.487          12.000        1798.594         893.156;
    56    0.496          12.000        1709.844         813.406;
    57    0.505          12.000        1613.938         748.781;
    58    0.514          12.000        1508.844         702.656;
    59    0.522          12.000        1403.938         673.594;
    60    0.531          12.000        1310.719         656.063;
    61    0.540          12.000        1234.938         644.250;
    62    0.549          12.000        1178.063         631.969;
    63    0.558          12.000        1140.156         616.031;
    64    0.567          12.000        1120.063         595.781;
    65    0.576          12.000        1114.500         573.188;
    66    0.584          12.000        1121.813         552.625;
    67    0.593          12.000        1137.750         539.281;
    68    0.602          12.000        1159.281         536.500;
    69    0.611          12.000        1184.875         548.313;
    70    0.620          12.000        1215.594         575.031;
    71    0.629          12.000        1251.813         613.500;
    72    0.638          12.000        1296.000         659.063;
    73    0.646          12.000        1349.844         706.719;
    74    0.655          12.000        1414.531         752.063;
    75    0.664          12.000        1488.375         792.250;
    76    0.673          12.000        1565.125         826.375;
    77    0.682          12.000        1635.188         855.813;
    78    0.691          12.000        1695.094         881.281;
    79    0.699          12.000        1745.750         904.125;
    80    0.708          12.000        1787.125         924.656;
    81    0.717          12.000        1818.813         943.063;
    82    0.726          12.000        1840.469         958.938;
    83    0.735          12.000        1851.750         971.156;
    84    0.744          12.000        1854.469         978.281;
    85    0.753          12.000        1848.063         980.469;
    86    0.761          12.000        1834.375         974.469;
    87    0.770          12.000        1816.344         960.875;
    88    0.779          12.000        1794.688         941.094;
    89    0.788          12.000        1769.938         917.219;
    90    0.797          12.000        1741.938         891.750;
    91    0.806          12.000        1710.563         867.313;
    92    0.815          12.000        1675.438         845.656;
    93    0.823          12.000        1636.125         827.594;
    94    0.832          12.000        1592.094         812.813;
    95    0.841          12.000        1542.750         799.563;
    96    0.850          12.000        1494.625         785.844;
    97    0.859          12.000        1456.375         768.938;
    98    0.868          12.000        1431.156         748.656;
    99    0.877          12.000        1420.500         726.656;
   100    0.885          12.000        1421.000         706.500;
   101    0.894          12.000        1432.750         692.813;
   102    0.903          12.000        1449.219         688.500;
   103    0.912          12.000        1467.719         697.563;
   104    0.921          12.000        1486.375         720.156;
   105    0.930          12.000        1504.156         752.375;
   106    0.939          12.000        1521.094         789.094;
   107    0.947          12.000        1538.031         824.469;
   108    0.956          12.000        1554.969         852.438;
   109    0.965          12.000        1570.469         868.750;
   110    0.974          12.000        1579.469         872.469;
   111    0.983          12.000        1582.219         863.500;
   112    0.992          12.000        1578.750         842.813;
   113    1.001          12.000        1568.063         815.688;
   114    1.009          12.000        1549.938         787.094;
   115    1.018          12.000        1527.813         761.094;
   116    1.027          12.000        1507.625         740.875;
   117    1.036          12.000        1490.594         728.719;
   118    1.045          12.000        1478.500         725.094;
   119    1.054          12.000        1472.500         728.438;
   120    1.063          12.000        1471.500         739.781;
   121    1.071          12.000        1478.906         755.063;
   122    1.080          12.000        1490.750         771.719;
   123    1.089          12.000        1506.281         787.375;
   124    1.098          12.000        1524.094         800.406;
   125    1.107          12.000        1542.594         809.625;
   126    1.116          12.000        1559.469         815.375;
   127    1.124          12.000        1570.188         818.188;
   128    1.133          12.000        1571.469         818.469;
   129    1.142          12.000        1562.625         818.469;
   130    1.151          12.000        1545.938         812.594;
   131    1.160          12.000        1529.031         803.813;
   132    1.169          12.000        1516.938         791.563;
   133    1.178          12.000        1510.594         777.688;
   134    1.186          12.000        1509.500         764.031;
   135    1.195          12.000        1511.000         753.719;
   136    1.204          12.000        1514.375         749.000;
   137    1.213          12.000        1517.000         750.000;
   138    1.222          12.000        1518.781         759.031;
   139    1.231          12.000        1519.688         773.219;
   140    1.240          12.000        1520.719         789.250;
   141    1.248          12.000        1523.375         803.688;
   142    1.257          12.000        1527.906         813.719;
   143    1.266          12.000        1534.188         817.813;
   144    1.275          12.000        1541.344         817.000;
   145    1.284          12.000        1548.219         810.313;
   146    1.293          12.000        1552.969         800.656;
   147    1.302          12.000        1554.469         791.063;
   148    1.310          12.000        1553.000         783.656;
   149    1.319          12.000        1548.531         780.125;
   150    1.328          12.000        1542.469         779.500;
   151    1.337          12.000        1536.969         781.906;
   152    1.346          12.000        1532.875         787.063;
   153    1.355          12.000        1531.500         792.438;
   154    1.364          12.000        1531.500         796.469;
   155    1.372          12.000        1534.656         798.656;
   156    1.381          12.000        1538.063         799.469;
   157    1.390          12.000        1540.906         799.469;
   158    1.399          12.000        1542.813         796.844;
   159    1.408          12.000        1543.469         794.063;
   160    1.417          12.000        1543.469         791.500;
   161    1.426          12.000        1542.000         789.969;
   162    1.434          12.000        1542.000         789.500;
   163    1.443          12.000        1542.000         789.500;
   164    1.452          12.000        1542.000         789.500;
   165    1.461          12.000        1542.000         791.625;
   166    1.470          12.000        1542.000         793.719;
   167    1.479          12.000        1542.000         795.594;
   168    1.488          12.000        1542.000         796.656;
   169    1.496          12.000        1542.000         797.469;
   170    1.505          12.000        1542.000         797.469;
   171    1.514          12.000        1542.000         796.000;
   172    1.523          12.000        1542.000         794.156;
   173    1.532          12.000        1542.000         792.125;
   174    1.541          12.000        1542.000         790.688;
   175    1.549          12.000        1542.000         789.938;
   176    1.558          12.000        1542.000         789.500;
   177    1.567          12.000        1542.000         789.500;
   178    1.576          12.000        1542.000         791.625;
   179    1.585          12.000        1542.000         793.469;
   180    1.594          12.000        1542.000         795.125;
   181    1.603          12.000        1542.000         796.281;
   182    1.611          12.000        1542.000         796.469;
   183    1.620          12.000        1542.000         796.469;
   184    1.629          12.000        1542.000         796.469;
   185    1.638          12.000        1542.000         794.313;
   186    1.647          12.000        1542.000         792.594;
   187    1.656          12.000        1542.000         791.375;
   188    1.665          12.000        1542.000         790.500;
   189    1.673          12.000        1542.000         790.500;
   190    1.682          12.000        1542.000         790.500;
   191    1.691          12.000        1542.000         792.000;
   192    1.700          12.000        1542.000         793.250;
   193    1.709          12.000        1542.000         794.625;
   194    1.718          12.000        1542.000         795.469;
   195    1.727          12.000        1542.000         796.313;
   196    1.735          12.000        1542.000         796.469;
   197    1.744          12.000        1542.000         796.469;
   198    1.753          12.000        1542.000         794.344;
   199    1.762          12.000        1542.000         792.875;
   200    1.771          12.000        1542.000         791.500;
   201    1.780          12.000        1542.000         791.156;
   202    1.789          12.000        1542.000         790.500;
   203    1.797          12.000        1542.000         790.500;
   204    1.806          12.000        1542.000         792.000;
   205    1.815          12.000        1542.000         793.125;
   206    1.824          12.000        1542.000         794.375;
   207    1.833          12.000        1542.000         795.375;
   208    1.842          12.000        1542.000         795.469;
   209    1.851          12.000        1542.000         795.469;
   210    1.859          12.000        1542.000         795.469;
   211    1.868          12.000        1542.000         794.000;
   212    1.877          12.000        1542.000         793.094;
   213    1.886          12.000        1542.000         792.000;
   214    1.895          12.000        1542.000         791.500;
   215    1.904          12.000        1542.000         791.500;
   216    1.913          12.000        1542.000         791.500;
   217    1.921          12.000        1542.000         791.500;
   218    1.930          12.000        1542.000         793.000;
   219    1.939          12.000        1542.000         794.094;
   220    1.948          12.000        1542.000         794.750;
   221    1.957          12.000        1542.000         795.469;
   222    1.966          12.000        1542.000         795.469;
   223    1.974          12.000        1542.000         795.469;
   224    1.983          12.000        1542.000         794.000;
   225    1.992          12.000        1542.000         793.250;
   226    2.001          12.000        1542.000         792.438;
   227    2.010          12.000        1542.000         791.594;
   228    2.019          12.000        1542.000         791.500;
   229    2.028          12.000        1542.000         791.500;
   230    2.036          12.000        1542.000         791.500;
   231    2.045          12.000        1542.000         793.000;
   232    2.054          12.000        1542.000         793.875;
   233    2.063          12.000        1542.000         794.469;
   234    2.072          12.000        1542.000         794.469;
