 Sample   Time     Encoder 1 Pos   Encoder 3 Pos 

[    0    0.000              57            -683;
     1    0.009              38            -681;
     2    0.018              18            -669;
     3    0.027              -1            -652;
     4    0.035             -21            -627;
     5    0.044             -40            -596;
     6    0.053             -58            -559;
     7    0.062             -76            -516;
     8    0.071             -93            -468;
     9    0.080            -108            -415;
    10    0.089            -122            -358;
    11    0.097            -135            -298;
    12    0.106            -146            -234;
    13    0.115            -155            -169;
    14    0.124            -162            -102;
    15    0.133            -167             -34;
    16    0.142            -171              34;
    17    0.151            -172             101;
    18    0.159            -172             166;
    19    0.168            -170             230;
    20    0.177            -165             290;
    21    0.186            -158             348;
    22    0.195            -150             401;
    23    0.204            -139             449;
    24    0.213            -128             493;
    25    0.221            -114             532;
    26    0.230            -100             565;
    27    0.239             -84             592;
    28    0.248             -67             613;
    29    0.257             -50             628;
    30    0.266             -32             635;
    31    0.274             -14             636;
    32    0.283               4             632;
    33    0.292              22             620;
    34    0.301              40             600;
    35    0.310              57             575;
    36    0.319              73             544;
    37    0.328              88             507;
    38    0.336             103             464;
    39    0.345             116             417;
    40    0.354             127             366;
    41    0.363             137             310;
    42    0.372             145             252;
    43    0.381             151             191;
    44    0.390             156             128;
    45    0.398             159              65;
    46    0.407             160               0;
    47    0.416             160             -64;
    48    0.425             157            -127;
    49    0.434             152            -188;
    50    0.443             146            -247;
    51    0.452             138            -303;
    52    0.460             130            -355;
    53    0.469             119            -404;
    54    0.478             108            -448;
    55    0.487              95            -488;
    56    0.496              82            -522;
    57    0.505              68            -551;
    58    0.514              53            -574;
    59    0.522              38            -591;
    60    0.531              22            -602;
    61    0.540               6            -607;
    62    0.549              -9            -607;
    63    0.558             -25            -598;
    64    0.567             -40            -584;
    65    0.576             -54            -563;
    66    0.584             -68            -537;
    67    0.593             -80            -506;
    68    0.602             -92            -468;
    69    0.611            -103            -427;
    70    0.620            -112            -381;
    71    0.629            -120            -331;
    72    0.638            -126            -278;
    73    0.646            -131            -222;
    74    0.655            -134            -164;
    75    0.664            -136            -105;
    76    0.673            -137             -44;
    77    0.682            -137              16;
    78    0.691            -133              76;
    79    0.699            -128             134;
    80    0.708            -122             191;
    81    0.717            -115             246;
    82    0.726            -106             298;
    83    0.735             -96             347;
    84    0.744             -85             391;
    85    0.753             -73             431;
    86    0.761             -61             466;
    87    0.770             -48             496;
    88    0.779             -34             522;
    89    0.788             -20             541;
    90    0.797              -6             556;
    91    0.806               9             564;
    92    0.815              23             566;
    93    0.823              36             564;
    94    0.832              49             554;
    95    0.841              62             538;
    96    0.850              74             517;
    97    0.859              85             490;
    98    0.868              94             458;
    99    0.877             103             421;
   100    0.885             110             380;
   101    0.894             116             335;
   102    0.903             120             286;
   103    0.912             123             235;
   104    0.921             125             181;
   105    0.930             125             126;
   106    0.939             125              69;
   107    0.947             122              12;
   108    0.956             118             -46;
   109    0.965             113            -102;
   110    0.974             107            -157;
   111    0.983             100            -210;
   112    0.992              92            -260;
   113    1.001              83            -308;
   114    1.009              73            -352;
   115    1.018              63            -393;
   116    1.027              52            -428;
   117    1.036              41            -459;
   118    1.045              30            -487;
   119    1.054              18            -507;
   120    1.063               6            -524;
   121    1.071              -6            -535;
   122    1.080             -17            -539;
   123    1.089             -28            -540;
   124    1.098             -39            -534;
   125    1.107             -49            -523;
   126    1.116             -59            -505;
   127    1.124             -67            -483;
   128    1.133             -75            -456;
   129    1.142             -82            -423;
   130    1.151             -88            -387;
   131    1.160             -93            -347;
   132    1.169             -96            -302;
   133    1.178             -98            -256;
   134    1.186            -100            -206;
   135    1.195            -100            -155;
   136    1.204            -100            -102;
   137    1.213             -98             -49;
   138    1.222             -94               5;
   139    1.231             -89              59;
   140    1.240             -84             111;
   141    1.248             -77             163;
   142    1.257             -70             212;
   143    1.266             -63             259;
   144    1.275             -54             302;
   145    1.284             -45             342;
   146    1.293             -35             379;
   147    1.302             -25             411;
   148    1.310             -15             439;
   149    1.319              -5             462;
   150    1.328               5             480;
   151    1.337              15             493;
   152    1.346              25             501;
   153    1.355              35             504;
   154    1.364              44             503;
   155    1.372              53             495;
   156    1.381              60             482;
   157    1.390              67             464;
   158    1.399              73             440;
   159    1.408              79             413;
   160    1.417              83             381;
   161    1.426              87             344;
   162    1.434              89             304;
   163    1.443              90             261;
   164    1.452              91             216;
   165    1.461              91             168;
   166    1.470              90             119;
   167    1.479              86              68;
   168    1.488              83              17;
   169    1.496              79             -34;
   170    1.505              74             -84;
   171    1.514              68            -134;
   172    1.523              62            -181;
   173    1.532              56            -227;
   174    1.541              49            -270;
   175    1.549              42            -310;
   176    1.558              34            -346;
   177    1.567              26            -379;
   178    1.576              18            -407;
   179    1.585              10            -431;
   180    1.594               3            -451;
   181    1.603              -5            -466;
