 Sample   Time     Encoder 1 Pos   Encoder 3 Pos 

[    0    0.000            -302              18;
     1    0.009            -150              18;
     2    0.018               9              17;
     3    0.027             161              15;
     4    0.035             294              13;
     5    0.044             396              11;
     6    0.053             462               9;
     7    0.062             487               8;
     8    0.071             470               7;
     9    0.080             413               6;
    10    0.089             323               5;
    11    0.097             211               4;
    12    0.106              85               2;
    13    0.115             -43               2;
    14    0.124            -163               1;
    15    0.133            -264              -0;
    16    0.142            -338              -1;
    17    0.151            -380              -1;
    18    0.159            -388              -2;
    19    0.168            -360              -3;
    20    0.177            -304              -4;
    21    0.186            -225              -5;
    22    0.195            -131              -6;
    23    0.204             -30              -8;
    24    0.213              69              -9;
    25    0.221             156             -10;
    26    0.230             226             -11;
    27    0.239             272             -12;
    28    0.248             292             -13;
    29    0.257             285             -13;
    30    0.266             252             -13;
    31    0.274             198             -13;
    32    0.283             130             -11;
    33    0.292              53             -10;
    34    0.301             -24              -9;
    35    0.310             -95              -7;
    36    0.319            -154              -5;
    37    0.328            -195              -3;
    38    0.336            -217              -2;
    39    0.345            -217              -0;
    40    0.354            -198               2;
    41    0.363            -162               3;
    42    0.372            -115               5;
    43    0.381             -61               6;
    44    0.390              -5               6;
    45    0.398              47               7;
    46    0.407              92               7;
    47    0.416             125               7;
    48    0.425             143               7;
    49    0.434             147               7;
    50    0.443             136               7;
    51    0.452             112               7;
    52    0.460              80               7;
    53    0.469              42               7;
    54    0.478               4               7;
    55    0.487             -32               7;
    56    0.496             -63               6;
    57    0.505             -84               5;
    58    0.514             -96               4;
    59    0.522             -98               2;
    60    0.531             -89               1;
    61    0.540             -73               0;
    62    0.549             -52              -1;
    63    0.558             -29              -2;
    64    0.567              -5              -2;
    65    0.576              15              -3;
    66    0.584              32              -4;
    67    0.593              44              -5;
    68    0.602              49              -6;
    69    0.611              49              -7;
    70    0.620              42              -7;
    71    0.629              32              -7;
    72    0.638              20              -8;
    73    0.646               8              -8;
    74    0.655              -3              -8;
    75    0.664             -12              -8;
    76    0.673             -17              -8;
    77    0.682             -20              -8;
    78    0.691             -20              -8;
    79    0.699             -17              -6;
    80    0.708             -13              -5;
    81    0.717              -9              -5;
    82    0.726              -5              -4;
    83    0.735              -3              -3;
    84    0.744              -2              -2;
    85    0.753              -1              -1;
    86    0.761              -1              -0;
    87    0.770              -1               1;
    88    0.779              -1               2;
    89    0.788              -1               3;
    90    0.797              -1               3;
    91    0.806              -1               4;
    92    0.815              -1               5;
    93    0.823              -1               5;
    94    0.832              -1               5;
    95    0.841              -1               6;
    96    0.850              -1               6;
    97    0.859              -1               6;
    98    0.868              -1               6;
    99    0.877              -1               6;
   100    0.885              -1               6;
   101    0.894              -1               6;
   102    0.903              -1               6;
   103    0.912              -1               6;
   104    0.921              -1               5;
   105    0.930              -1               4;
   106    0.939              -1               4;
   107    0.947              -1               3;
   108    0.956              -1               2;
   109    0.965              -1               1;
   110    0.974              -1               0;
   111    0.983              -1              -1;
   112    0.992              -1              -1;
   113    1.001              -1              -2;
   114    1.009              -1              -2;
   115    1.018              -1              -3;
   116    1.027              -1              -4;
   117    1.036              -1              -4;
   118    1.045              -1              -5;
   119    1.054              -1              -5;
   120    1.063              -1              -6;
   121    1.071              -1              -6;
   122    1.080              -1              -6;
   123    1.089              -1              -6;
   124    1.098              -1              -6;
   125    1.107              -1              -6;
   126    1.116              -1              -6;
   127    1.124              -1              -6;
   128    1.133              -1              -6;
   129    1.142              -1              -4;
   130    1.151              -1              -3;
   131    1.160              -1              -3;
   132    1.169              -1              -2;
   133    1.178              -1              -2;
   134    1.186              -1              -1;
   135    1.195              -1              -0;
   136    1.204              -1               0;
   137    1.213              -1               1;
   138    1.222              -1               2;
   139    1.231              -1               3;
   140    1.240              -1               3;
   141    1.248              -1               4;
   142    1.257              -1               4;
   143    1.266              -1               4;
   144    1.275              -1               4;
   145    1.284              -1               4;
   146    1.293              -1               4;
   147    1.302              -1               4;
   148    1.310              -1               4;
   149    1.319              -1               4;
   150    1.328              -1               4;
   151    1.337              -1               4;
   152    1.346              -1               4;
   153    1.355              -1               4;
   154    1.364              -1               3;
   155    1.372              -1               2;
   156    1.381              -1               2;
   157    1.390              -1               1;
   158    1.399              -1               1;
   159    1.408              -1              -0;
   160    1.417              -1              -1;
   161    1.426              -1              -1;
   162    1.434              -1              -2;
   163    1.443              -1              -2;
   164    1.452              -1              -2;
   165    1.461              -1              -3;
   166    1.470              -1              -3;
   167    1.479              -1              -3;
   168    1.488              -1              -4;
   169    1.496              -1              -4;
   170    1.505              -1              -4;
   171    1.514              -1              -4;
   172    1.523              -1              -4;
   173    1.532              -1              -4;
   174    1.541              -1              -4;
   175    1.549              -1              -4;
   176    1.558              -1              -4;
   177    1.567              -1              -4;
   178    1.576              -1              -4;
   179    1.585              -1              -4;
   180    1.594              -1              -2;
   181    1.603              -1              -2;
   182    1.611              -1              -1;
   183    1.620              -1              -1;
   184    1.629              -1               0;
   185    1.638              -1               0;
   186    1.647              -1               1;
   187    1.656              -1               1;
   188    1.665              -1               2;
   189    1.673              -1               2;
   190    1.682              -1               3;
   191    1.691              -1               3;
   192    1.700              -1               3;
   193    1.709              -1               3;
   194    1.718              -1               3;
   195    1.727              -1               3;
   196    1.735              -1               3;
   197    1.744              -1               3;
   198    1.753              -1               3;
   199    1.762              -1               3;
   200    1.771              -1               3;
   201    1.780              -1               3;
   202    1.789              -1               2;
   203    1.797              -1               2;
   204    1.806              -1               2;
   205    1.815              -1               1;
   206    1.824              -1               1;
   207    1.833              -1               0;
   208    1.842              -1              -0;
   209    1.851              -1              -1;
   210    1.859              -1              -1;
   211    1.868              -1              -1;
   212    1.877              -1              -2;
   213    1.886              -1              -2;
   214    1.895              -1              -2;
   215    1.904              -1              -2;
   216    1.913              -1              -3;
   217    1.921              -1              -3;
   218    1.930              -1              -3;
   219    1.939              -1              -3;
   220    1.948              -1              -3;
   221    1.957              -1              -3;
   222    1.966              -1              -3;
   223    1.974              -1              -3;
   224    1.983              -1              -3;
   225    1.992              -1              -3;
   226    2.001              -1              -3;
   227    2.010              -1              -3;
   228    2.019              -1              -3;
   229    2.028              -1              -1;
   230    2.036              -1              -1;
   231    2.045              -1              -1;
   232    2.054              -1              -0;
   233    2.063              -1               0;
   234    2.072              -1               0;
